top - 13:52:20 up 45 days, 21:51,  2 users,  load average: 0.26, 0.27, 0.27
Tasks: 779 total,   1 running, 674 sleeping,   1 stopped,   1 zombie
%Cpu(s):  2.4 us,  0.7 sy,  0.0 ni, 96.7 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem : 32705352 total,  9926436 free, 17225348 used,  5553568 buff/cache
KiB Swap:  2097148 total,  1368572 free,   728576 used. 13096016 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 3454 mysql     20   0 1421776   7724   3132 S   0.0  0.0  48:08.19 mysqld
 3563 hutianyu  20   0   76784   4588   3952 S   0.0  0.0   0:00.06 systemd
 3564 hutianyu  20   0  261592   1572      0 S   0.0  0.0   0:00.00 (sd-pam)
 3638 hutianyu  20   0 20.619g  80716  54196 S   0.0  0.2   3:14.77 code
 3643 hutianyu  20   0 16.331g  23620  16316 S   0.0  0.1   0:00.00 code
 3645 hutianyu  20   0 16.331g  21820  14600 S   0.0  0.1   0:00.00 code
 3653 root      20   0       0      0      0 I   0.0  0.0   0:00.02 kworker/u32:2-e
 3656 hutianyu  20   0 16.331g   7304      0 S   0.0  0.0   0:00.00 code
 3670 hutianyu  20   0 16.031g    856    716 S   0.0  0.0   0:00.41 chrome_crashpad
 3704 user      20   0 1961052 855788  25900 S   0.0  2.6  18:19.82 gnome-software
 3707 user      20   0  692580 120752  17856 S   0.0  0.4   4:47.68 update-notifier
 3716 zhoulin   20   0  381280   8144   5100 S   0.0  0.0   1:51.34 gvfsd-trash
 3734 zhoulin   20   0  365280   6352   5216 S   0.0  0.0   0:00.39 gvfsd-network
 3738 user      20   0  298132   6204   5816 S   0.0  0.0   0:00.20 glib-pacrunner
 3774 wqf       20   0   25720   5988   3060 S   0.0  0.0   0:00.68 bash
